"2305.07572","Huy Nguyen","Huy Nguyen, TrungTin Nguyen, Khai Nguyen, Nhat Ho","Towards Convergence Rates for Parameter Estimation in Gaussian-gated
  Mixture of Experts","30 pages, 4 figures; Huy Nguyen and TrungTin Nguyen contributed
  equally to this work",,,,"stat.ML cs.LG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Originally introduced as a neural network for ensemble learning, mixture of
experts (MoE) has recently become a fundamental building block of highly
successful modern deep neural networks for heterogeneous data analysis in
several applications, including those in machine learning, statistics,
bioinformatics, economics, and medicine. Despite its popularity in practice, a
satisfactory level of understanding of the convergence behavior of
Gaussian-gated MoE parameter estimation is far from complete. The underlying
reason for this challenge is the inclusion of covariates in the Gaussian gating
and expert networks, which leads to their intrinsically complex interactions
via partial differential equations with respect to their parameters. We address
these issues by designing novel Voronoi loss functions to accurately capture
heterogeneity in the maximum likelihood estimator (MLE) for resolving parameter
estimation in these models. Our results reveal distinct behaviors of the MLE
under two settings: the first setting is when all the location parameters in
the Gaussian gating are non-zeros while the second setting is when there exists
at least one zero-valued location parameter. Notably, these behaviors can be
characterized by the solvability of two different systems of polynomial
equations. Finally, we conduct a simulation study to verify our theoretical
results.
","[{""version"":""v1"",""created"":""Fri, 12 May 2023 16:02:19 GMT""}]","2023-05-15"
"2305.07573","Larry L\""uer","Larry L\""uer, Marius Peters, Ana Sun\v{c}ana Smith, Eva Dorschky,
  Bjoern M. Eskofier, Frauke Liers, J\""org Franke, Martin Sjarov, Mathias
  Brossog, Dirk Guldi, Andreas Maier and Christoph J. Brabec","A Digital Twin to overcome long-time challenges in Photovoltaics","22 Pages, 6 Figures",,,,"cond-mat.mtrl-sci","http://creativecommons.org/licenses/by/4.0/","  The recent successes of emerging photovoltaics (PV) such as organic and
perovskite solar cells are largely driven by innovations in material science.
However, closing the gap to commercialization still requires significant
innovation to match contradicting requirements such as performance, longevity
and recyclability. The rate of innovation, as of today, is limited by a lack of
design principles linking chemical motifs to functional microscopic structures,
and by an incapacity to experimentally access microscopic structures from
investigating macroscopic device properties. In this work, we envision a layout
of a Digital Twin for PV materials aimed at removing both limitations. The
layout combines machine learning approaches, as performed in materials
acceleration platforms (MAPs), with mathematical models derived from the
underlying physics and digital twin concepts from the engineering world. This
layout will allow using high-throughput (HT) experimentation in MAPs to improve
the parametrization of quantum chemical and solid-state models. In turn, the
improved and generalized models can be used to obtain the crucial structural
parameters from HT data. HT experimentation will thus yield a detailed
understanding of generally valid structure-property relationships, enabling
inverse molecular design, that is, predicting the optimal chemical structure
and process conditions to build PV devices satisfying a multitude of
requirements at the same time. After motivating our proposed layout of the
digital twin with causal relationships in material science, we discuss the
current state of the enabling technologies, already being able to yield insight
from HT data today. We identify open challenges with respect to the multiscale
nature of PV materials and the needed volume and diversity of data, and mention
promising approaches to address these challenges.
","[{""version"":""v1"",""created"":""Fri, 12 May 2023 16:03:38 GMT""}]","2023-05-15"
"2305.07574","Andrea Di Lorenzo","Andrea Di Lorenzo, Roberto Fringuelli and Angelo Vistoli","Integral Picard group of moduli of polarized K3 surfaces","9 pages, comments welcome!",,,,"math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We compute the integral Picard group of the moduli stack of polarized K3
surfaces of fixed degree whose singularities are at most rational double
points. We also compute the integral Picard group of the stack of
quasi-polarized K3 surfaces, and of the stacky period domain.
","[{""version"":""v1"",""created"":""Fri, 12 May 2023 16:05:53 GMT""}]","2023-05-15"
"2305.07575","Miri Zilka","Miri Zilka, Riccardo Fogliato, Jiri Hron, Bradley Butcher, Carolyn
  Ashurst, and Adrian Weller","The Progression of Disparities within the Criminal Justice System:
  Differential Enforcement and Risk Assessment Instruments","Accepted to FAccT '23",,"10.1145/3593013.3594099",,"cs.CY","http://creativecommons.org/licenses/by/4.0/","  Algorithmic risk assessment instruments (RAIs) increasingly inform
decision-making in criminal justice. RAIs largely rely on arrest records as a
proxy for underlying crime. Problematically, the extent to which arrests
reflect overall offending can vary with the person's characteristics. We
examine how the disconnect between crime and arrest rates impacts RAIs and
their evaluation. Our main contribution is a method for quantifying this bias
via estimation of the amount of unobserved offenses associated with particular
demographics. These unobserved offenses are then used to augment real-world
arrest records to create part real, part synthetic crime records. Using this
data, we estimate that four currently deployed RAIs assign 0.5--2.8 percentage
points higher risk scores to Black individuals than to White individuals with a
similar \emph{arrest} record, but the gap grows to 4.5--11.0 percentage points
when we match on the semi-synthetic \emph{crime} record. We conclude by
discussing the potential risks around the use of RAIs, highlighting how they
may exacerbate existing inequalities if the underlying disparities of the
criminal justice system are not taken into account. In light of our findings,
we provide recommendations to improve the development and evaluation of such
tools.
","[{""version"":""v1"",""created"":""Fri, 12 May 2023 16:06:40 GMT""}]","2023-05-15"
"2305.07576","Hyungseop Kim","Hyungseop Kim","Thomason filtration via $T(1)$-local $\mathrm{TC}$","20 pages, comments welcome",,,,"math.KT math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We construct a natural filtration on $T(1)$-local $\mathrm{TC}$ for each
derived schemes satisfying certain finiteness conditions using prismatic
cohomology and descent theory. In the course of the construction, we also study
some general properties of prismatic cohomology complexes over perfect prisms
after inverting distinguished generators. The construction is intrinsic to
$\mathrm{TC}$ and recovers Thomason's spectral sequence for $T(1)$-local
algebraic K-theory via the trace map.
","[{""version"":""v1"",""created"":""Fri, 12 May 2023 16:09:57 GMT""}]","2023-05-15"
"2305.07577","Zhonghao Sun","Z. H. Sun, G. Hagen, T. Papenbrock","Coupled-cluster theory for strong entanglement in nuclei","11 pages, 8 figures",,,,"nucl-th","http://creativecommons.org/licenses/by/4.0/","  Atomic nuclei can exhibit shape coexistence and multi-reference physics that
enters in their ground states, and to accurately capture the ensuing
correlations and entanglement is challenging. We address this problem by
applying single-reference coupled-cluster theory based on spherical and
deformed reference states and the tailored coupled-cluster method. The latter
combines configuration interaction to capture static correlations with
coupled-cluster theory for dynamic correlations. We compute the atomic nuclei
$^{12}$C, $^{28}$Si, and $^{56}$Ni and find that the tailored coupled-cluster
method and the single-reference approach based on a deformed Hartree-Fock state
yield the most accurate results.
","[{""version"":""v1"",""created"":""Fri, 12 May 2023 16:10:40 GMT""}]","2023-05-15"
"2305.07578","Isabel Rebollido","Isabel Rebollido, Sebastian Zieba, Daniela Iglesias, Vincent Bourrier,
  Flavien Kiefer and Alain Lecavelier Des Etangs","CHEOPS's hunt for exocomets: photometric observations of 5 Vul","Accepted for publication in MNRAS",,"10.1093/mnras/stad1475",,"astro-ph.EP astro-ph.SR","http://creativecommons.org/licenses/by-nc-nd/4.0/","  The presence of minor bodies in exoplanetary systems is in most cases
inferred through infra-red excesses, with the exception of exocomets. Even if
over 35 years have passed since the first detection of exocomets around beta
Pic, only ~ 25 systems are known to show evidence of evaporating bodies, and
most of them have only been observed in spectroscopy. With the appearance of
new high-precision photometric missions designed to search for exoplanets, such
as CHEOPS, a new opportunity to detect exocomets is available. Combining data
from CHEOPS and TESS we investigate the lightcurve of 5 Vul, an A-type star
with detected variability in spectroscopy, to search for non periodic transits
that could indicate the presence of dusty cometary tails in the system. While
we did not find any evidence of minor bodies, the high precision of the data,
along with the combination with previous spectroscopic results and models,
allows for an estimation of the sizes and spatial distribution of the
exocomets.
","[{""version"":""v1"",""created"":""Fri, 12 May 2023 16:11:13 GMT""}]","2023-05-24"
"2305.07579","Eugene Churazov","E.Churazov, I.I.Khabibullin, K.Dolag, N.Lyskova, R.A.Sunyaev","Prospects of detecting soft X-ray emission from typical WHIM filaments
  around massive clusters and the Coma cluster soft excess","Submitted to MNRAS",,"10.1093/mnras/stad1514",,"astro-ph.HE astro-ph.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  While hot ICM in galaxy clusters makes these objects powerful X-ray sources,
the cluster's outskirts and overdense gaseous filaments might give rise to much
fainter sub-keV emission. Cosmological simulations show a prominent ""focusing""
effect of rich clusters on the space density of the Warm-Hot Intergalactic
Medium (WHIM) filaments up to a distance of $\sim 10\,{\rm Mpc}$ ($\sim$
turnaround radius, $r_{ta}$) and beyond. Here, we use Magneticum simulations to
characterize their properties in terms of integrated emission measure for a
given temperature and overdensity cut and the level of contamination by the
more dense gas. We suggest that the annuli $(\sim 0.5-1)\times \,r_{ta}$ around
massive clusters might be the most promising sites for the search of the gas
with overdensity $\lesssim 50$. We model spectral signatures of the WHIM in the
X-ray band and identify two distinct regimes for the gas at temperatures below
and above $\sim 10^6\,{\rm K}$. Using this model, we estimate the sensitivity
of X-ray telescopes to the WHIM spectral signatures. We found that the WHIM
structures are within reach of future high spectral resolution missions,
provided that the low-density gas is not extremely metal-poor. We then consider
the Coma cluster observed by SRG/eROSITA during the CalPV phase as an example
of a nearby massive object. We found that beyond the central $r\sim 40'$ ($\sim
1100\,{\rm kpc}$) circle, where calibration uncertainties preclude clean
separation of the extremely bright cluster emission from a possible softer
component, the conservative upper limits are about an order of magnitude larger
than the levels expected from simulations.
","[{""version"":""v1"",""created"":""Fri, 12 May 2023 16:15:24 GMT""}]","2023-05-31"
"2305.07580","Dexiong Chen","Dexiong Chen, Paolo Pellizzoni, Karsten Borgwardt","Fisher Information Embedding for Node and Graph Learning","ICML 2023",,,,"stat.ML cs.LG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Attention-based graph neural networks (GNNs), such as graph attention
networks (GATs), have become popular neural architectures for processing
graph-structured data and learning node embeddings. Despite their empirical
success, these models rely on labeled data and the theoretical properties of
these models have yet to be fully understood. In this work, we propose a novel
attention-based node embedding framework for graphs. Our framework builds upon
a hierarchical kernel for multisets of subgraphs around nodes (e.g.
neighborhoods) and each kernel leverages the geometry of a smooth statistical
manifold to compare pairs of multisets, by ""projecting"" the multisets onto the
manifold. By explicitly computing node embeddings with a manifold of Gaussian
mixtures, our method leads to a new attention mechanism for neighborhood
aggregation. We provide theoretical insights into generalizability and
expressivity of our embeddings, contributing to a deeper understanding of
attention-based GNNs. We propose both efficient unsupervised and supervised
methods for learning the embeddings. Through experiments on several node
classification benchmarks, we demonstrate that our proposed method outperforms
existing attention-based graph models like GATs. Our code is available at
https://github.com/BorgwardtLab/fisher_information_embedding.
","[{""version"":""v1"",""created"":""Fri, 12 May 2023 16:15:30 GMT""},{""version"":""v2"",""created"":""Tue, 6 Jun 2023 13:20:34 GMT""}]","2023-06-07"
"2305.07581","Euan McGonigle","Euan T. McGonigle and Haeran Cho","Nonparametric data segmentation in multivariate time series via joint
  characteristic functions",,,,,"stat.ME","http://creativecommons.org/licenses/by/4.0/","  Modern time series data often exhibit complex dependence and structural
changes which are not easily characterised by shifts in the mean or model
parameters. We propose a nonparametric data segmentation methodology for
multivariate time series termed NP-MOJO. By considering joint characteristic
functions between the time series and its lagged values, NP-MOJO is able to
detect change points in the marginal distribution, but also those in possibly
non-linear serial dependence, all without the need to pre-specify the type of
changes. We show the theoretical consistency of NP-MOJO in estimating the total
number and the locations of the change points, and demonstrate the good
performance of NP-MOJO against a variety of change point scenarios. We further
demonstrate its usefulness in applications to seismology and economic time
series.
","[{""version"":""v1"",""created"":""Fri, 12 May 2023 16:15:41 GMT""},{""version"":""v2"",""created"":""Fri, 2 Jun 2023 10:44:06 GMT""}]","2023-06-05"
